"Sample","Orchard","Location","Row","Direction","Interval","Interval.Duration","Date","PollenType","Count","TotalPollen","NonCherry","Propos","num"
33,"HBA","CANOPY","3C","N","AM",9,"17 May 2016","Other angiosperm",3167,6398,3171,0.494998437,105
33,"HBA","CANOPY","3C","N","PM",15,"17 May 2016","Other angiosperm",207,576,207,0.359375,106
34,"HBA","CANOPY","3C","S","AM",9,"17 May 2016","Other angiosperm",223,483,224,0.4616977226,107
34,"HBA","CANOPY","3C","S","PM",15,"17 May 2016","Other angiosperm",291,679,296,0.4285714286,108
3,"HBA","ROW","1A","N","AM",9,"17 May 2016","Other angiosperm",24,55,28,0.4363636364,109
3,"HBA","ROW","1A","N","PM",15,"17 May 2016","Other angiosperm",54,121,56,0.4462809917,110
4,"HBA","ROW","1A","S","AM",9,"17 May 2016","Other angiosperm",82,307,85,0.2671009772,111
4,"HBA","ROW","1A","S","PM",15,"17 May 2016","Other angiosperm",65,145,67,0.4482758621,112
7,"HBA","ROW","1B","N","AM",9,"17 May 2016","Other angiosperm",20,36,20,0.5555555556,113
7,"HBA","ROW","1B","N","PM",15,"17 May 2016","Other angiosperm",56,176,59,0.3181818182,114
8,"HBA","ROW","1B","S","AM",9,"17 May 2016","Other angiosperm",36,63,38,0.5714285714,115
8,"HBA","ROW","1B","S","PM",15,"17 May 2016","Other angiosperm",71,189,78,0.3756613757,116
11,"HBA","ROW","1C","N","AM",9,"17 May 2016","Other angiosperm",40,93,41,0.4301075269,117
11,"HBA","ROW","1C","N","PM",15,"17 May 2016","Other angiosperm",47,143,49,0.3286713287,118
12,"HBA","ROW","1C","S","AM",9,"17 May 2016","Other angiosperm",29,99,29,0.2929292929,119
12,"HBA","ROW","1C","S","PM",15,"17 May 2016","Other angiosperm",98,303,102,0.3234323432,120
15,"HBA","ROW","2A","N","AM",9,"17 May 2016","Other angiosperm",30,83,31,0.3614457831,121
15,"HBA","ROW","2A","N","PM",15,"17 May 2016","Other angiosperm",31,110,37,0.2818181818,122
16,"HBA","ROW","2A","S","AM",9,"17 May 2016","Other angiosperm",69,180,72,0.3833333333,123
16,"HBA","ROW","2A","S","PM",15,"17 May 2016","Other angiosperm",69,189,73,0.3650793651,124
19,"HBA","ROW","2B","N","AM",9,"17 May 2016","Other angiosperm",27,55,29,0.4909090909,125
19,"HBA","ROW","2B","N","PM",15,"17 May 2016","Other angiosperm",61,200,67,0.305,126
20,"HBA","ROW","2B","S","AM",9,"17 May 2016","Other angiosperm",79,196,79,0.4030612245,127
